0.000000000000000000e+00, 1.649250296916542124e+00
0.000000000000000000e+00, 1.750795392257883387e+00
1.000000000000000000e+00, 1.841172440146872535e+00
1.000000000000000000e+00, 1.681107940180398996e+00
2.000000000000000000e+00, 1.464669465980759755e+00
2.000000000000000000e+00, 1.408259151599910108e+00
3.000000000000000000e+00, 1.564440839438166142e+00
3.000000000000000000e+00, 1.529298616257338317e+00
4.000000000000000000e+00, 1.648691938065145024e+00
4.000000000000000000e+00, 1.602656801321499680e+00
5.000000000000000000e+00, 1.348066539558481214e+00
5.000000000000000000e+00, 1.368826301965862413e+00
6.000000000000000000e+00, 1.306866281588653145e+00
6.000000000000000000e+00, 1.250583650071413588e+00
7.000000000000000000e+00, 1.391504775176424680e+00
7.000000000000000000e+00, 1.403498481463100411e+00
